row,nameInMMS,nameInBag
318,myd_mgzto7797_v01f01_em,myd_mgzto7797_v01f01_em
319,myd_mgzto7795_v01f01_em,myd_mgzto7795_v01f01_em
320,myd_mgzto7795_v01f01_em,myd_mgzto7795_v01f01_sc
321,myd_mgzto7795_v01f01_em,myd_mgzto7795_v01f01_pm
322,myd_mgzto778_v01f01_em,myd_mgzto778_v01f01_sc
323,myd_mgzto778_v01f01_em,myd_mgzto778_v01f01_em
324,myd_mgzto778_v01f01_em,myd_mgzto778_v01f01_pm
325,myd_mgzto777_v01f01_em,myd_mgzto777_v01f01_pm
326,myd_mgzto777_v01f01_em,myd_mgzto777_v01f01_sc
327,myd_mgzto777_v01f01_em,myd_mgzto777_v01f01_em
328,myd_mgzto776_v01f01_em,myd_mgzto776_v01f01_pm
329,myd_mgzto776_v01f01_em,myd_mgzto776_v01f01_sc
330,myd_mgzto776_v01f01_em,myd_mgzto776_v01f01_em
331,myd_mgzto775_v01f01_em,myd_mgzto775_v01f01_sc
332,myd_mgzto775_v01f01_em,myd_mgzto775_v01f01_pm
333,myd_mgzto775_v01f01_em,myd_mgzto775_v01f01_em
334,myd_mgzto774_v01f01_em,myd_mgzto774_v01f01_em
335,myd_mgzto774_v01f01_em,myd_mgzto774_v01f01_sc
336,myd_mgzto774_v01f01_em,myd_mgzto774_v01f01_pm
337,myd_mgzto773_v01f01_em,myd_mgzto773_v01f01_pm
338,myd_mgzto773_v01f01_em,myd_mgzto773_v01f01_sc
339,myd_mgzto773_v01f01_em,myd_mgzto773_v01f01_em
340,myd_mgzto7737_v01f02_em,myd_mgzto7737_v01f02_sc
341,myd_mgzto7737_v01f02_em,myd_mgzto7737_v01f02_pm
342,myd_mgzto7737_v01f02_em,myd_mgzto7737_v01f02_em
343,myd_mgzto7737_v01f01_em,myd_mgzto7737_v01f01_pm
344,myd_mgzto7737_v01f01_em,myd_mgzto7737_v01f01_sc
345,myd_mgzto7737_v01f01_em,myd_mgzto7737_v01f01_em
346,myd_mgzto772_v01f01_em,myd_mgzto772_v01f01_sc
347,myd_mgzto772_v01f01_em,myd_mgzto772_v01f01_em
348,myd_mgzto772_v01f01_em,myd_mgzto772_v01f01_pm
349,myd_mgzto771_v01f01_em,myd_mgzto771_v01f01_pm
350,myd_mgzto771_v01f01_em,myd_mgzto771_v01f01_em
351,myd_mgzto771_v01f01_em,myd_mgzto771_v01f01_sc
352,myd_mgzto770_v01f01_em,myd_mgzto770_v01f01_sc
353,myd_mgzto770_v01f01_em,myd_mgzto770_v01f01_pm
354,myd_mgzto770_v01f01_em,myd_mgzto770_v01f01_em
355,myd_mgzto769_v01f01_em,myd_mgzto769_v01f01_sc
356,myd_mgzto769_v01f01_em,myd_mgzto769_v01f01_pm
357,myd_mgzto769_v01f01_em,myd_mgzto769_v01f01_em
358,myd_mgzto767_v01f01_em,myd_mgzto767_v01f01_sc
359,myd_mgzto767_v01f01_em,myd_mgzto767_v01f01_em
360,myd_mgzto767_v01f01_em,myd_mgzto767_v01f01_pm
361,myd_mgzto7676_v01f01_em,myd_mgzto7676_v01f01_sc
362,myd_mgzto7676_v01f01_em,myd_mgzto7676_v01f01_pm
363,myd_mgzto7676_v01f01_em,myd_mgzto7676_v01f01_em
364,myd_mgzto766_v01f01_em,myd_mgzto766_v01f01_sc
365,myd_mgzto766_v01f01_em,myd_mgzto766_v01f01_pm
366,myd_mgzto766_v01f01_em,myd_mgzto766_v01f01_em
367,myd_mgzto764_v01f01_em,myd_mgzto764_v01f01_sc
368,myd_mgzto764_v01f01_em,myd_mgzto764_v01f01_em
369,myd_mgzto764_v01f01_em,myd_mgzto764_v01f01_pm
370,myd_mgzto7624_v01f02_em,myd_mgzto7624_v01f02_sc
371,myd_mgzto7624_v01f02_em,myd_mgzto7624_v01f02_pm
372,myd_mgzto7624_v01f02_em,myd_mgzto7624_v01f02_em
373,myd_mgzto7624_v01f01_em,myd_mgzto7624_v01f01_pm
374,myd_mgzto7624_v01f01_em,myd_mgzto7624_v01f01_sc
375,myd_mgzto7624_v01f01_em,myd_mgzto7624_v01f01_em
376,myd_mgzto7623_v01f01_em,myd_mgzto7623_v01f01_sc
377,myd_mgzto7623_v01f01_em,myd_mgzto7623_v01f01_pm
378,myd_mgzto7623_v01f01_em,myd_mgzto7623_v01f01_em
379,myd_mgzto7622_v01f02_em,myd_mgzto7622_v01f02_em
380,myd_mgzto7622_v01f02_em,myd_mgzto7622_v01f02_sc
381,myd_mgzto7622_v01f02_em,myd_mgzto7622_v01f02_pm
382,myd_mgzto7622_v01f01_em,myd_mgzto7622_v01f01_em
383,myd_mgzto7622_v01f01_em,myd_mgzto7622_v01f01_sc
